date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:52	14871/14871	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c596eb94a634591dc42d2484c5b44ea2%22	https://brunodzi.dev/_next/static/media/nestjs.a4402a57.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/nestjs.a4402a57.svg	(from https://brunodzi.dev/)
20:31:52	5583/5583	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ff47f0d19abf84e9a3b91d4bcd0d486d%22	https://brunodzi.dev/_next/static/media/express.ca4a9096.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/express.ca4a9096.svg	(from https://brunodzi.dev/)
20:31:52	5925/5925	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225649fe40d8e82374ba55fe0827abfde3%22	https://brunodzi.dev/_next/static/media/nodejs.f276943c.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/nodejs.f276943c.svg	(from https://brunodzi.dev/)
20:31:53	11265/11265	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2209094f844fd63ab5a227d93860ed2cfb%22	https://brunodzi.dev/_next/static/media/mongodb.cba28039.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/mongodb.cba28039.svg	(from https://brunodzi.dev/)
20:31:53	2652/2652	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a28a5d40d62ec8a5a428a01b084cac25%22	https://brunodzi.dev/_next/static/media/graphql.6330df37.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/graphql.6330df37.svg	(from https://brunodzi.dev/)
20:31:53	900/900	---M--	200	added ('OK')	image/svg+xml	etag:%225dc4ade3acf6b3836ab45becc3d07fef%22	https://brunodzi.dev/_next/static/media/socketio.9132ce9e.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/socketio.9132ce9e.svg	(from https://brunodzi.dev/)
20:31:53	3244/3244	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2285ff54886df0d6482b3ee645d11e142e%22	https://brunodzi.dev/_next/static/media/tailwindcss.f32b2034.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/tailwindcss.f32b2034.svg	(from https://brunodzi.dev/)
20:31:54	221/221	---M--	200	added ('OK')	image/svg+xml	etag:%22b67c2b142b32e163666bfa9646823911%22	https://brunodzi.dev/_next/static/media/framermotion.9d7f7fd6.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/framermotion.9d7f7fd6.svg	(from https://brunodzi.dev/)
20:31:54	8191/8191	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223626b9cdd32c8ff534ace6973cdd0db8%22	https://brunodzi.dev/_next/static/media/webrtc.03a557be.svg	D:/github_pages/clone/brunodzi.dev/_next/static/media/webrtc.03a557be.svg	(from https://brunodzi.dev/)
20:31:54	142/142	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2022%20Feb%202023%2011:31:54%20GMT	https://brunodzi.dev/_next/static/media/chrome-extension://window/testing-library.js	D:/github_pages/clone/brunodzi.dev/_next/static/media/chrome-extension_/window/testing-library.js	(from https://brunodzi.dev/_next/static/media/recoiljs.95af9579.svg)
20:31:54	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f6987e68244318615f08d8f2f86de1f6%22	https://brunodzi.dev/_next/static/media/chrome-extension:/window/testing-library.js	D:/github_pages/clone/brunodzi.dev/_next/static/media/chrome-extension_/window/testing-library.js	(from https://brunodzi.dev/_next/static/media/recoiljs.95af9579.svg)
